road_id,unique_key,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
66879261_road,66879261,D,Unspecified,Mezzanine,
66876410_road,66876410,J,J M Z to Broad St (JZ) Uptown (M),Platform,
66883764_road,66883764,BQE/Gowanus Expwy,East/Queens Bound,Brooklyn Br (Exit 28B),Ramp
66882150_road,66882150,J,Unspecified,Platform,
66873544_road,66873544,D,Unspecified,Other,
66876402_road,66876402,D,Unspecified,Other,
66883590_road,66883590,1,Unspecified,Platform,
66883589_road,66883589,Q,Unspecified,Mezzanine,
66880727_road,66880727,N,Unspecified,Mezzanine,
66873543_road,66873543,S - 42 Street Shuttle,Unspecified,Passageway,
66862964_road,66862964,E,Unspecified,Mezzanine,
66870669_road,66870669,N,N Q R W Uptown & Queens,Platform,
66872120_road,66872120,N,N Q R W Uptown & Queens,Platform,
66872112_road,66872112,J,Unspecified,Mezzanine,
66869095_road,66869095,E,B D E Uptown & The Bronx - Queens upper level,Platform,
66869082_road,66869082,BQE/Gowanus Expwy,West/Staten Island Bound,Metropolitan Ave (Exit 32B) -  Williamsburg Br Manhattan (Exit 32A),Roadway
66866102_road,66866102,G,F to Coney Island,Platform,
66866264_road,66866264,Staten Island Expwy,Westbound/To Goethals Br,Todt Hill Road/Slossen Ave (Exit 12),Ramp
66861414_road,66861414,E,Unspecified,Entrance,89 Av & Van Wyck Expy
66869091_road,66869091,E,Unspecified,Entrance,89 Av & Van Wyck Expy
66867591_road,66867591,1,1 Downtown,Platform,
66872190_road,66872190,Major Deegan Expwy,South/Toward Triborough Br,E 138 St Madison Ave Br (Exit 3),Ramp
66869096_road,66869096,4,Unspecified,Mezzanine,
66866101_road,66866101,L,L to 8 Av,Platform,
66870678_road,66870678,5,Unspecified,Entrance,E 86 St & Lexington Av to Uptown & The B
66864718_road,66864718,Jackie Robinson/Interboro Pkwy,Eastbound,Myrtle Ave Woodhaven Blvd (Exit 5),Ramp
66867759_road,66867759,Hutchinson River Pkwy,South/Queens Bound,Pelham Pkwy (Exit 3E) - Westchester Ave E Tremont Ave (Exit 2),Roadway
66862965_road,66862965,C,B C Downtown & Brooklyn,Platform,
66870679_road,66870679,C,C to Manhattan,Platform,
66863064_road,66863064,Long Island Expwy,East/Long Island Bound,Cross Is Pkwy (Exit 31S) - Little Neck Pkwy (Exit 32),Roadway
66867602_road,66867602,J,Unspecified,Mezzanine,
66861423_road,66861423,J,Unspecified,Mezzanine,
66861425_road,66861425,F,F Downtown & Brooklyn,Platform,
66872122_road,66872122,2,Unspecified,Mezzanine,
66861424_road,66861424,J,Unspecified,Mezzanine,
66864528_road,66864528,Harlem River Dr,North/Bronx Bound,E. 125th St (Exit 19),Ramp
66867597_road,66867597,G,Unspecified,Stairway,
66861420_road,66861420,F,Unspecified,Mezzanine,
66864554_road,66864554,F,Unspecified,Passageway,
66862973_road,66862973,6,Unspecified,Platform,
66861376_road,66861376,Cross Bronx Expwy,South/East (To Throgs Neck Br),Jerome Ave (Exit 2A) - Webster Ave (Exit 2B),Roadway
66864555_road,66864555,6,Unspecified,Entrance,E 60 St & Lexington Av E side / Blooming
66867589_road,66867589,1,1 Downtown,Platform,
66867435_road,66867435,Richmond Pkwy/Korean War Vets,South/New Jersey Bound,Maguire Ave/Bloomingdale Rd/Arthur Kill Rd - West Shore Expwy(NY 440),Roadway
66872125_road,66872125,6,Unspecified,Entrance,E 59 St & Lexington Av East/Uptown side
66864556_road,66864556,6,Unspecified,Entrance,E 59 St & Lexington Av East/Uptown side
66867762_road,66867762,Manhattan Br,Manhattan Bound,Bikepath,Roadway
66867603_road,66867603,1,Unspecified,Other,
