taxi_id,unique_key,taxi_company_borough,taxi_pick_up_location
66772318_taxi,66772318,Unspecified,"11 AVENUE AND WEST   25 STREET, MANHATTAN, NY, 10001"
66769711_taxi,66769711,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66763604_taxi,66763604,Unspecified,"230 NEW YORK AVENUE, BROOKLYN, NY, 11216"
66764786_taxi,66764786,Unspecified,"2856 WEST   16 STREET, BROOKLYN, NY, 11224"
66766039_taxi,66766039,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66769856_taxi,66769856,Unspecified,"167 EAST   63 STREET, MANHATTAN (NEW YORK), NY, 10065"
66768464_taxi,66768464,BROOKLYN,"169 58 STREET, BROOKLYN, NY, 11220"
66772217_taxi,66772217,Unspecified,"1535 BROADWAY, MANHATTAN (NEW YORK), NY, 10036"
66769854_taxi,66769854,Unspecified,"50 RIVINGTON STREET, MANHATTAN (NEW YORK), NY, 10002"
66766148_taxi,66766148,Unspecified,"40 RIVINGTON STREET, MANHATTAN (NEW YORK), NY, 10002"
66769855_taxi,66769855,Unspecified,"168 FORSYTH STREET, MANHATTAN (NEW YORK), NY, 10002"
66767354_taxi,66767354,Unspecified,"168 FORSYTH STREET, MANHATTAN (NEW YORK), NY, 10002"
66769747_taxi,66769747,Unspecified,"LGA TERMINAL C, QUEENS (EAST ELMHURST) ,NY, 11369"
66771131_taxi,66771131,Unspecified,"107 5 AVENUE, MANHATTAN (NEW YORK), NY, 10003"
66763627_taxi,66763627,Unspecified,"57 BOND STREET, BROOKLYN, NY, 11217"
66769746_taxi,66769746,Unspecified,"28 WEST    8 STREET, MANHATTAN (NEW YORK), NY, 10011"
66764820_taxi,66764820,Unspecified,"2 AVENUE AND EAST    7 STREET, MANHATTAN, NY, 10003"
66765988_taxi,66765988,QUEENS,"70-64 YELLOWSTONE BOULEVARD, QUEENS (FOREST HILLS), NY, 1137"
66766045_taxi,66766045,Unspecified,"EAST   59 STREET AND MADISON AVENUE, MANHATTAN, NY, 10022"
66763605_taxi,66763605,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66763511_taxi,66763511,Unspecified,"BROADWAY AND WEST   57 STREET, MANHATTAN, NY, 10019"
66763626_taxi,66763626,Unspecified,"592 10 AVENUE, MANHATTAN (NEW YORK), NY, 10036"
66764748_taxi,66764748,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66768609_taxi,66768609,Unspecified,"145 DEKALB AVENUE, BROOKLYN, NY, 11217"
66766000_taxi,66766000,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66772216_taxi,66772216,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66772258_taxi,66772258,Unspecified,"CLARK STREET AND HENRY STREET, BROOKLYN, NY, 11201"
66763487_taxi,66763487,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66763468_taxi,66763468,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66766038_taxi,66766038,Unspecified,"29 9 AVENUE, MANHATTAN (NEW YORK), NY, 10014"
